gene_symbol	phenotypes
PKDCC	"Rhizomelic limb shortening with dysmorphic features, 618821 (3), Autosomal recessive"
HAAO	"Vertebral, cardiac, renal, and limb defects syndrome 1, 617660 (3), Autosomal recessive"
DYNC2LI1	"Short-rib thoracic dysplasia 15 with polydactyly, 617088 (3), Autosomal recessive"
ABCG5	"Sitosterolemia 2, 618666 (3)"
ABCG8	"{Gallbladder disease 4}, 611465 (3); Sitosterolemia 1, 210250 (3), Autosomal recessive"
LRPPRC	"Leigh syndrome, French-Canadian type, 220111 (3), Autosomal recessive"
SLC3A1	"Cystinuria, 220100 (3), Autosomal recessive, Autosomal dominant"
PREPL	"Myasthenic syndrome, congenital, 22, 616224 (3), Autosomal recessive"
SIX3	"Holoprosencephaly 2, 157170 (3), Autosomal dominant; Schizencephaly, 269160 (3)"
EPAS1	"Erythrocytosis, familial, 4, 611783 (3)"
CRIPT	"Short stature with microcephaly and distinctive facies, 615789 (3), Autosomal recessive"
MCFD2	"Factor V and factor VIII, combined deficiency of, 613625 (3)"
TTC7A	"Gastrointestinal defects and immunodeficiency syndrome, 243150 (3), Autosomal recessive"
CALM2	"Long QT syndrome 15, 616249 (3), Autosomal dominant"
EPCAM	"Colorectal cancer, hereditary nonpolyposis, type 8, 613244 (3); Diarrhea 5, with tufting enteropathy, congenital, 613217 (3), Autosomal recessive"
MSH2	"Mismatch repair cancer syndrome, 276300 (3), Autosomal recessive; Muir-Torre syndrome, 158320 (3), Autosomal dominant; Colorectal cancer, hereditary nonpolyposis, type 1, 120435 (3), Autosomal dominant"
MSH6	"Mismatch repair cancer syndrome, 276300 (3), Autosomal recessive; {Endometrial cancer, familial}, 608089 (3), Autosomal dominant, Somatic mutation; Colorectal cancer, hereditary nonpolyposis, type 5, 614350 (3), Autosomal dominant"
FBXO11	"Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities, 618089 (3), Autosomal dominant"
LHCGR	"Leydig cell adenoma, somatic, with precocious puberty, 176410 (3); Precocious puberty, male, 176410 (3), Autosomal dominant; Luteinizing hormone resistance, female, 238320 (3), Autosomal recessive; Leydig cell hypoplasia with pseudohermaphroditism, 238320 (3), Autosomal recessive; Leydig cell hypoplasia with hypergonadotropic hypogonadism, 238320 (3), Autosomal recessive"
FSHR	"Ovarian hyperstimulation syndrome, 608115 (3), Autosomal dominant; Ovarian dysgenesis 1, 233300 (3), Autosomal recessive; Ovarian response to FSH stimulation, 276400 (3), Autosomal recessive"
NRXN1	"Pitt-Hopkins-like syndrome 2, 614325 (3), Autosomal recessive; {Schizophrenia, susceptibility to, 17}, 614332 (3)"
CCDC88A	"?PEHO syndrome-like, 617507 (3), Autosomal recessive"
PNPT1	"Deafness, autosomal recessive 70, 614934 (3), Autosomal recessive; Combined oxidative phosphorylation deficiency 13, 614932 (3), Autosomal recessive"
EFEMP1	"Doyne honeycomb degeneration of retina, 126600 (3), Autosomal dominant"
FANCL	"Fanconi anemia, complementation group L, 614083 (3), Autosomal recessive"
BCL11A	"Dias-Logan syndrome, 617101 (3), Autosomal dominant"
PEX13	"Peroxisome biogenesis disorder 11A (Zellweger), 614883 (3), Autosomal recessive; Peroxisome biogenesis disorder 11B, 614885 (3), Autosomal recessive"
FAM161A	"Retinitis pigmentosa 28, 606068 (3)"
EHBP1	"{Prostate cancer, hereditary, 12}, 611868 (3)"
WDPCP	"?Bardet-Biedl syndrome 15, 615992 (3), Autosomal recessive; ?Congenital heart defects, hamartomas of tongue, and polysyndactyly, 217085 (3), Autosomal recessive"
UGP2	"Epileptic encephalopathy, early infantile, 83, 618744 (3), Autosomal recessive"
SLC1A4	"Spastic tetraplegia, thin corpus callosum, and progressive microcephaly, 616657 (3), Autosomal recessive"
ANTXR1	"GAPO syndrome, 230740 (3), Autosomal recessive; {?Hemangioma, capillary infantile, susceptibility to}, 602089 (3), Autosomal dominant"
GFPT1	"Myasthenia, congenital, 12, with tubular aggregates, 610542 (3), Autosomal recessive"
NFU1	"Multiple mitochondrial dysfunctions syndrome 1, 605711 (3), Autosomal recessive"
TIA1	"Welander distal myopathy, 604454 (3), Autosomal recessive, Autosomal dominant"
FIGLA	"Premature ovarian failure 6, 612310 (3), Autosomal dominant"
CD207	"[?Birbeck granule deficiency], 613393 (3)"
ATP6V1B1	"Renal tubular acidosis with deafness, 267300 (3), Autosomal recessive"
MCEE	"Methylmalonyl-CoA epimerase deficiency, 251120 (3), Autosomal recessive"
DYSF	"Miyoshi muscular dystrophy 1, 254130 (3), Autosomal recessive; Muscular dystrophy, limb-girdle, autosomal recessive 2, 253601 (3), Autosomal recessive; Myopathy, distal, with anterior tibial onset, 606768 (3), Autosomal recessive"
CYP26B1	"Craniosynostosis with radiohumeral fusions and other skeletal and craniofacial anomalies, 614416 (3)"
EXOC6B	"Spondyloepimetaphyseal dysplasia with joint laxity, type 3, 618395 (3), Autosomal recessive"
SPR	"Dystonia, dopa-responsive, due to sepiapterin reductase deficiency, 612716 (3), Autosomal recessive, ?Autosomal dominant"
ALMS1	"Alstrom syndrome, 203800 (3), Autosomal recessive"
TPRKB	"Galloway-Mowat syndrome 5, 617731 (3), Autosomal recessive"
STAMBP	"Microcephaly-capillary malformation syndrome, 614261 (3), Autosomal recessive"
ACTG2	"Visceral myopathy, 155310 (3), Autosomal dominant"
DGUOK	"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4, 617070 (3), Autosomal recessive; Portal hypertension, noncirrhotic, 617068 (3), Autosomal recessive; Mitochondrial DNA depletion syndrome 3 (hepatocerebral type), 251880 (3), Autosomal recessive"
TET3	"Beck-Fahrner syndrome, 618798 (3), Autosomal recessive, Autosomal dominant"
BOLA3	"Multiple mitochondrial dysfunctions syndrome 2 with hyperglycinemia, 614299 (3), Autosomal recessive"
DCTN1	"{Amyotrophic lateral sclerosis, susceptibility to}, 105400 (3), Autosomal recessive, Autosomal dominant; Perry syndrome, 168605 (3), Autosomal dominant; Neuronopathy, distal hereditary motor, type VIIB, 607641 (3), Autosomal dominant"
MOGS	"Congenital disorder of glycosylation, type IIb, 606056 (3), Autosomal recessive"
HTRA2	"{Parkinson disease 13}, 610297 (3); 3-methylglutaconic aciduria, type VIII, 617248 (3), Autosomal recessive"
CTNNA2	"Cortical dysplasia, complex, with other brain malformations 9, 618174 (3), Autosomal recessive"
SUCLG1	"Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria), 245400 (3), Autosomal recessive"
ELMOD3	"?Deafness, autosomal recessive 88, 615429 (3), Autosomal recessive"
GGCX	"Vitamin K-dependent clotting factors, combined deficiency of, 1, 277450 (3), Autosomal recessive; Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency, 610842 (3)"
SFTPB	"Surfactant metabolism dysfunction, pulmonary, 1, 265120 (3), Autosomal recessive"
ST3GAL5	"Salt and pepper developmental regression syndrome, 609056 (3), Autosomal recessive"
POLR1A	"Acrofacial dysostosis, Cincinnati type, 616462 (3), Autosomal dominant"
REEP1	"Spastic paraplegia 31, autosomal dominant, 610250 (3), Autosomal dominant; ?Neuronopathy, distal hereditary motor, type VB, 614751 (3), Autosomal dominant"
CD8A	"CD8 deficiency, familial, 608957 (3), Autosomal recessive"
EIF2AK3	"Wolcott-Rallison syndrome, 226980 (3), Autosomal recessive"
RPIA	"Ribose 5-phosphate isomerase deficiency, 608611 (3), Autosomal recessive"
IGKC	"Kappa light chain deficiency, 614102 (3), Autosomal recessive"
STARD7	"Epilepsy, familial adult myoclonic, 2, 607876 (3), Autosomal dominant"
TMEM127	"{Pheochromocytoma, susceptibility to}, 171300 (3), Autosomal dominant"
SNRNP200	"Retinitis pigmentosa 33, 610359 (3), Autosomal dominant"
NCAPH	"?Microcephaly 23, primary, autosomal recessive, 617985 (3), Autosomal recessive"
LMAN2L	"?Mental retardation, autosomal recessive, 52, 616887 (3), Autosomal recessive"
CNNM4	"Jalili syndrome, 217080 (3), Autosomal recessive"
ZAP70	"Autoimmune disease, multisystem, infantile-onset, 2, 617006 (3), Autosomal recessive; Immunodeficiency 48, 269840 (3), Autosomal recessive"
VWA3B	"?Spinocerebellar ataxia, autosomal recessive 22, 616948 (3), Autosomal recessive"
CNGA3	"Achromatopsia 2, 216900 (3), Autosomal recessive"
COA5	"?Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3, 616500 (3), Autosomal recessive"
TSGA10	"?Spermatogenic failure 26, 617961 (3), Autosomal recessive"
LIPT1	"Lipoyltransferase 1 deficiency, 616299 (3), Autosomal recessive"
POU3F3	"Snijders Blok-Fisher syndrome, 618604 (3), Autosomal dominant"
SLC5A7	"Neuronopathy, distal hereditary motor, type VIIA, 158580 (3), Autosomal dominant; Myasthenic syndrome, congenital, 20, presynaptic, 617143 (3), Autosomal recessive"
RANBP2	"{Encephalopathy, acute, infection-induced, 3, susceptibility to}, 608033 (3), Autosomal dominant"
EDAR	"Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant, 129490 (3), Autosomal dominant; Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive, 224900 (3), Autosomal recessive; [Hair morphology 1, hair thickness], 612630 (3)"
NPHP1	"Nephronophthisis 1, juvenile, 256100 (3), Autosomal recessive; Senior-Loken syndrome-1, 266900 (3), Autosomal recessive; Joubert syndrome 4, 609583 (3), Autosomal recessive"
BUB1	"Colorectal cancer with chromosomal instability, somatic, 114500 (3)"
ANAPC1	"Rothmund-Thomson syndrome, type 1, 618625 (3), Autosomal recessive"
MERTK	"Retinitis pigmentosa 38, 613862 (3), Autosomal recessive"
CKAP2L	"Filippi syndrome, 272440 (3), Autosomal recessive"
IL1B	"{Gastric cancer risk after H. pylori infection}, 137215 (3), Autosomal dominant"
IL36RN	"Psoriasis 14, pustular, 614204 (3), Autosomal recessive"
IL1RN	"{Gastric cancer risk after H. pylori infection}, 137215 (3), Autosomal dominant; {Microvascular complications of diabetes 4}, 612628 (3); Interleukin 1 receptor antagonist deficiency, 612852 (3), Autosomal recessive"
PAX8	"Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia, 218700 (3), Autosomal dominant"
STEAP3	"?Anemia, hypochromic microcytic, with iron overload 2, 615234 (3), Autosomal dominant"
GLI2	"Culler-Jones syndrome, 615849 (3), Autosomal dominant; Holoprosencephaly 9, 610829 (3), Autosomal dominant"
RNU4ATAC	"Microcephalic osteodysplastic primordial dwarfism, type I, 210710 (3), Autosomal recessive; Roifman syndrome, 616651 (3), Autosomal recessive"
GYPC	"{Malaria, resistance to}, 611162 (3); [Blood group, Gerbich], 616089 (3)"
BIN1	"Centronuclear myopathy 2, 255200 (3), Autosomal recessive"
ERCC3	"Xeroderma pigmentosum, group B, 610651 (3), Autosomal recessive; Trichothiodystrophy 2, photosensitive, 616390 (3), Autosomal recessive"
PROC	"Thrombophilia due to protein C deficiency, autosomal dominant, 176860 (3), Autosomal dominant; Thrombophilia due to protein C deficiency, autosomal recessive, 612304 (3), Autosomal recessive"
LIMS2	"?Muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue, 616827 (3), Autosomal recessive"
HS6ST1	"{Hypogonadotropic hypogonadism 15 with or without anosmia}, 614880 (3), Autosomal dominant"
SMPD4	"Neurodevelopmental disorder with microcephaly, arthrogryposis, and structural brain anomalies, 618622 (3), Autosomal recessive"
CCDC115	"Congenital disorder of glycosylation, type IIo, 616828 (3), Autosomal recessive"
CFC1	"Heterotaxy, visceral, 2, autosomal, 605376 (3), Autosomal dominant"
TUBA3D	"Keratoconus 9, 617928 (3), Autosomal dominant"
RAB3GAP1	"Warburg micro syndrome 1, 600118 (3), Autosomal recessive"
LCT	"Lactase deficiency, congenital, 223000 (3), Autosomal recessive"
MCM6	"Lactase persistence/nonpersistence, 223100 (3), Autosomal dominant"
DARS1	"Hypomyelination with brainstem and spinal cord involvement and leg spasticity, 615281 (3), Autosomal recessive"
CXCR4	"Myelokathexis, isolated (3); WHIM syndrome, 193670 (3), Autosomal dominant"
HNMT	"{Asthma, susceptibility to}, 600807 (3), Autosomal dominant; Mental retardation, autosomal recessive 51, 616739 (3), Autosomal recessive"
KYNU	"Vertebral, cardiac, renal, and limb defects syndrome 2, 617661 (3), Autosomal recessive; ?Hydroxykynureninuria, 236800 (3), Autosomal recessive"
ZEB2	"Mowat-Wilson syndrome, 235730 (3), Autosomal dominant"
ORC4	"Meier-Gorlin syndrome 2, 613800 (3), Autosomal recessive"
MBD5	"Mental retardation, autosomal dominant 1, 156200 (3), Autosomal dominant"
KIF5C	"Cortical dysplasia, complex, with other brain malformations 2, 615282 (3), Autosomal dominant"
MMADHC	"Homocystinuria, cblD type, variant 1, 277410 (3), Autosomal recessive; Methylmalonic aciduria and homocystinuria, cblD type, 277410 (3), Autosomal recessive; Methylmalonic aciduria, cblD type, variant 2, 277410 (3), Autosomal recessive"
NEB	"Nemaline myopathy 2, autosomal recessive, 256030 (3), Autosomal recessive"
CACNB4	"{Epilepsy, idiopathic generalized, susceptibility to, 9}, 607682 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to, 6}, 607682 (3), Autosomal dominant; Episodic ataxia, type 5, 613855 (3), Autosomal dominant"
GPD2	"{Diabetes, type 2, susceptibility to}, 125853 (3), Autosomal dominant"
ACVR1	"Fibrodysplasia ossificans progressiva, 135100 (3), Autosomal dominant"
ITGB6	"Amelogenesis imperfecta, type IH, 616221 (3), Autosomal recessive"
TBR1	"Intellectual developmental disorder with autism and speech delay, 606053 (3), Autosomal dominant"
IFIH1	"Aicardi-Goutieres syndrome 7, 615846 (3), Autosomal dominant; Singleton-Merten syndrome 1, 182250 (3), Autosomal dominant"
SCN3A	"Epilepsy, familial focal, with variable foci 4, 617935 (3), Autosomal dominant; Epileptic encephalopathy, early infantile, 62, 617938 (3), Autosomal dominant"
SCN2A	"Epileptic encephalopathy, early infantile, 11, 613721 (3), Autosomal dominant; Seizures, benign familial infantile, 3, 607745 (3), Autosomal dominant"
GALNT3	"Tumoral calcinosis, hyperphosphatemic, familial, 1, 211900 (3), Autosomal recessive"
TTC21B	"Nephronophthisis 12, 613820 (3), Autosomal recessive, Autosomal dominant; Short-rib thoracic dysplasia 4 with or without polydactyly, 613819 (3), Autosomal recessive"
SCN1A	"Febrile seizures, familial, 3A, 604403 (3), Autosomal dominant; Migraine, familial hemiplegic, 3, 609634 (3), Autosomal dominant; Epilepsy, generalized, with febrile seizures plus, type 2, 604403 (3), Autosomal dominant; Epileptic encephalopathy, early infantile, 6 (Dravet syndrome), 607208 (3), Autosomal dominant"
SCN9A	"Small fiber neuropathy, 133020 (3), Autosomal dominant; HSAN2D, autosomal recessive, 243000 (3), Autosomal recessive; Paroxysmal extreme pain disorder, 167400 (3), Autosomal dominant; Epilepsy, generalized, with febrile seizures plus, type 7, 613863 (3), Autosomal dominant; Insensitivity to pain, congenital, 243000 (3), Autosomal recessive; {Dravet syndrome, modifier of}, 607208 (3), Autosomal dominant; Erythermalgia, primary, 133020 (3), Autosomal dominant; Febrile seizures, familial, 3B, 613863 (3), Autosomal dominant"
ABCB11	"Cholestasis, progressive familial intrahepatic 2, 601847 (3), Autosomal recessive; Cholestasis, benign recurrent intrahepatic, 2, 605479 (3), Autosomal recessive"
LRP2	"Donnai-Barrow syndrome, 222448 (3), Autosomal recessive"
BBS5	"Bardet-Biedl syndrome 5, 615983 (3), Autosomal recessive"
KLHL41	"Nemaline myopathy 9, 615731 (3), Autosomal recessive"
METTL5	"Intellectual developmental disorder, autosomal recessive 72, 618665 (3), Autosomal recessive"
GAD1	"?Cerebral palsy, spastic quadriplegic, 1, 603513 (3), Autosomal recessive"
DCAF17	"Woodhouse-Sakati syndrome, 241080 (3), Autosomal recessive"
DYNC1I2	"Neurodevelopmental disorder with microcephaly and structural brain anomalies, 618492 (3), Autosomal recessive"
SLC25A12	"Epileptic encephalopathy, early infantile, 39, 612949 (3), Autosomal recessive"
ITGA6	"Epidermolysis bullosa, junctional, with pyloric stenosis, 226730 (3), Autosomal recessive"
MAP3K20	"Split-foot malformation with mesoaxial polydactyly, 616890 (3), Autosomal recessive; Centronuclear myopathy 6 with fiber-type disproportion, 617760 (3), Autosomal recessive"
CDCA7	"Immunodeficiency-centromeric instability-facial anomalies syndrome 3, 616910 (3), Autosomal recessive"
WIPF1	"?Wiskott-Aldrich syndrome 2, 614493 (3)"
CHRNA1	"Myasthenic syndrome, congenital, 1A, slow-channel, 601462 (3), Autosomal dominant; Myasthenic syndrome, congenital, 1B, fast-channel, 608930 (3), Autosomal recessive, Autosomal dominant; Multiple pterygium syndrome, lethal type, 253290 (3), Autosomal recessive"
CHN1	"Duane retraction syndrome 2, 604356 (3), Autosomal dominant"
LNPK	"Neurodevelopmental disorder with epilepsy and hypoplasia of the corpus callosum, 618090 (3), Autosomal recessive"
HOXD13	"Brachydactyly, type D, 113200 (3), Autosomal dominant; Brachydactyly, type E, 113300 (3), Autosomal dominant; ?Brachydactyly-syndactyly syndrome, 610713 (3); Syndactyly, type V, 186300 (3), Autosomal dominant; Synpolydactyly 1, 186000 (3), Autosomal dominant"
HOXD10	"Charcot-Marie-Tooth disease, foot deformity of, 192950 (3), Autosomal dominant; Vertical talus, congenital, 192950 (3), Autosomal dominant"
NFE2L2	"Immunodeficiency, developmental delay, and hypohomocysteinemia, 617744 (3), Autosomal dominant"
AGPS	"Rhizomelic chondrodysplasia punctata, type 3, 600121 (3), Autosomal recessive"
PDE11A	"Pigmented nodular adrenocortical disease, primary, 2, 610475 (3), Autosomal dominant"
PRKRA	"Dystonia 16, 612067 (3), Autosomal recessive"
PJVK	"Deafness, autosomal recessive 59, 610220 (3), Autosomal recessive"
TTN	"Myopathy, myofibrillar, 9, with early respiratory failure, 603689 (3), Autosomal dominant; Cardiomyopathy, familial hypertrophic, 9, 613765 (3), Autosomal dominant; Muscular dystrophy, limb-girdle, autosomal recessive 10, 608807 (3), Autosomal recessive; Cardiomyopathy, dilated, 1G, 604145 (3); Tibial muscular dystrophy, tardive, 600334 (3), Autosomal dominant; Salih myopathy, 611705 (3), Autosomal recessive"
CERKL	"Retinitis pigmentosa 26, 608380 (3)"
NEUROD1	"Maturity-onset diabetes of the young 6, 606394 (3); {Diabetes mellitus, noninsulin-dependent}, 125853 (3), Autosomal dominant"
FRZB	"{Osteoarthritis susceptibility 1}, 165720 (3), Multifactorial"
FSIP2	"Spermatogenic failure 34, 618153 (3), Autosomal recessive"
CALCRL	"?Lymphatic malformation 8, 618773 (3), Autosomal recessive"
COL3A1	"Ehlers-Danlos syndrome, vascular type, 130050 (3), Autosomal dominant; Polymicrogyria with or without vascular-type EDS, 618343 (3), Autosomal recessive"
COL5A2	"Ehlers-Danlos syndrome, classic type, 2, 130010 (3), Autosomal dominant"
SLC40A1	"Hemochromatosis, type 4, 606069 (3), Autosomal dominant"
MSTN	"Muscle hypertrophy, 614160 (3)"
HIBCH	"3-hydroxyisobutryl-CoA hydrolase deficiency, 250620 (3), Autosomal recessive"
GLS	"?Infantile cataract, skin abnormalities, glutamate excess, and impaired intellectual development, 618339 (3), Autosomal dominant; Global developmental delay, progressive ataxia, and elevated glutamine, 618412 (3), Autosomal recessive; Epileptic encephalopathy, early infantile, 71, 618328 (3), Autosomal recessive"
STAT1	"Immunodeficiency 31C, autosomal dominant, 614162 (3), Autosomal dominant; Immunodeficiency 31A, mycobacteriosis, autosomal dominant, 614892 (3), Autosomal dominant; Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive, 613796 (3), Autosomal recessive"
STAT4	"{Systemic lupus erythematosus, susceptibility to, 11}, 612253 (3)"
HECW2	"Neurodevelopmental disorder with hypotonia, seizures, and absent language, 617268 (3), Autosomal dominant"
PGAP1	"Mental retardation, autosomal recessive 42, 615802 (3), Autosomal recessive"
SF3B1	"Myelodysplastic syndrome, somatic, 614286 (3)"
HSPD1	"Spastic paraplegia 13, autosomal dominant, 605280 (3), Autosomal dominant; Leukodystrophy, hypomyelinating, 4, 612233 (3), Autosomal recessive"
MARS2	"Spastic ataxia 3, autosomal recessive, 611390 (3), Autosomal recessive; ?Combined oxidative phosphorylation deficiency 25, 616430 (3), Autosomal recessive"
SATB2	"Glass syndrome, 612313 (3), Autosomal dominant"
NDUFB3	"Mitochondrial complex I deficiency, nuclear type 25, 618246 (3), Autosomal recessive"
CASP10	"Lymphoma, non-Hodgkin, somatic, 605027 (3); Gastric cancer, somatic, 613659 (3); Autoimmune lymphoproliferative syndrome, type II, 603909 (3), Autosomal dominant"
CASP8	"{Lung cancer, protection against}, 211980 (3), Autosomal dominant, Somatic mutation; ?Autoimmune lymphoproliferative syndrome, type IIB, 607271 (3), Autosomal recessive; Hepatocellular carcinoma, somatic, 114550 (3); {Breast cancer, protection against}, 114480 (3), Autosomal dominant, Somatic mutation"
TMEM237	"Joubert syndrome 14, 614424 (3), Autosomal recessive"
ALS2	"Primary lateral sclerosis, juvenile, 606353 (3), Autosomal recessive; Amyotrophic lateral sclerosis 2, juvenile, 205100 (3), Autosomal recessive; Spastic paralysis, infantile onset ascending, 607225 (3), Autosomal recessive"
SUMO1	"?Orofacial cleft 10, 613705 (3), Isolated cases"
BMPR2	"Pulmonary venoocclusive disease 1, 265450 (3), Autosomal dominant; Pulmonary hypertension, familial primary, 1, with or without HHT, 178600 (3), Autosomal dominant; Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated, 178600 (3), Autosomal dominant"
CTLA4	"{Systemic lupus erythematosus, susceptibility to}, 152700 (3), Autosomal dominant; {Diabetes mellitus, insulin-dependent, 12}, 601388 (3); {Celiac disease, susceptibility to, 3}, 609755 (3); Autoimmune lymphoproliferative syndrome, type V, 616100 (3), Autosomal dominant; {Hashimoto thyroiditis}, 140300 (3), Autosomal dominant"
ICOS	"Immunodeficiency, common variable, 1, 607594 (3), Autosomal recessive"
NDUFS1	"Mitochondrial complex I deficiency, nuclear type 5, 618226 (3), Autosomal recessive"
FASTKD2	"Combined oxidative phosphorylation deficiency 44, 618855 (3)"
CREB1	"Histiocytoma, angiomatoid fibrous, somatic, 612160 (3)"
CRYGD	"Cataract 4, multiple types, 115700 (3), Autosomal dominant"
CRYGC	"Cataract 2, multiple types, 604307 (3), Autosomal dominant"
CRYGB	"Cataract 39, multiple types, autosomal dominant, 615188 (3), Autosomal dominant"
IDH1	"{Glioma, susceptibility to, somatic}, 137800 (3)"
PIKFYVE	"Corneal fleck dystrophy, 121850 (3), Autosomal dominant"
UNC80	"Hypotonia, infantile, with psychomotor retardation and characteristic facies 2, 616801 (3), Autosomal recessive"
MYL1	"Myopathy, congenital, with fast-twitch (type II) fiber atrophy, 618414 (3), Autosomal recessive"
CPS1	"Carbamoylphosphate synthetase I deficiency, 237300 (3), Autosomal recessive; {Pulmonary hypertension, neonatal, susceptibility to}, 615371 (3)"
ERBB4	"Amyotrophic lateral sclerosis 19, 615515 (3), Autosomal dominant"
BARD1	"{Breast cancer, susceptibility to}, 114480 (3), Autosomal dominant, Somatic mutation"
ABCA12	"Ichthyosis, congenital, autosomal recessive 4B (harlequin), 242500 (3), Autosomal recessive; Ichthyosis, congenital, autosomal recessive 4A, 601277 (3), Autosomal recessive"
ATIC	"AICA-ribosiduria due to ATIC deficiency, 608688 (3), Autosomal recessive"
FN1	"Glomerulopathy with fibronectin deposits 2, 601894 (3), Autosomal dominant; Spondylometaphyseal dysplasia, corner fracture type, 184255 (3), Autosomal dominant"
SMARCAL1	"Schimke immunoosseous dysplasia, 242900 (3), Autosomal recessive"
CXCR1	"{AIDS, slow progression to}, 609423 (3)"
PNKD	"Paroxysmal nonkinesigenic dyskinesia 1, 118800 (3), Autosomal dominant"
SLC11A1	"{Buruli ulcer, susceptibility to}, 610446 (3); {Mycobacterium tuberculosis, susceptibility to infection by}, 607948 (3)"
ZNF142	"Neurodevelopmental disorder with impaired speech and hyperkinetic movements, 618425 (3), Autosomal recessive"
BCS1L	"Leigh syndrome, 256000 (3), Mitochondrial, Autosomal recessive; GRACILE syndrome, 603358 (3), Autosomal recessive; Bjornstad syndrome, 262000 (3), Autosomal recessive; Mitochondrial complex III deficiency, nuclear type 1, 124000 (3), Autosomal recessive"
CYP27A1	"Cerebrotendinous xanthomatosis, 213700 (3), Autosomal recessive"
WNT10A	"Schopf-Schulz-Passarge syndrome, 224750 (3), Autosomal recessive; Tooth agenesis, selective, 4, 150400 (3), Autosomal recessive, Autosomal dominant; Odontoonychodermal dysplasia, 257980 (3), Autosomal recessive"
CRYBA2	"?Cataract 42, 115900 (3), Autosomal dominant"
CFAP65	"Spermatogenic failure 40, 618664 (3), Autosomal recessive"
IHH	"Acrocapitofemoral dysplasia, 607778 (3), Autosomal recessive; Brachydactyly, type A1, 112500 (3), Autosomal dominant"
NHEJ1	"Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation, 611291 (3)"
ABCB6	"Dyschromatosis universalis hereditaria 3, 615402 (3), Autosomal dominant; Microphthalmia, isolated, with coloboma 7, 614497 (3), Autosomal dominant; [Blood group, Langereis system], 111600 (3); Pseudohyperkalemia, familial, 2, due to red cell leak, 609153 (3), Autosomal dominant"
TUBA4A	"Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia, 616208 (3), Autosomal dominant"
DNAJB2	"Spinal muscular atrophy, distal, autosomal recessive, 5, 614881 (3), Autosomal recessive"
DES	"?Cardiomyopathy, dilated, 1I, 604765 (3), Autosomal dominant; Scapuloperoneal syndrome, neurogenic, Kaeser type, 181400 (3), Autosomal dominant; Myopathy, myofibrillar, 1, 601419 (3), Autosomal recessive, Autosomal dominant"
SPEG	"Centronuclear myopathy 5, 615959 (3), Autosomal recessive"
GMPPA	"Alacrima, achalasia, and mental retardation syndrome, 615510 (3), Autosomal recessive"
OBSL1	"3-M syndrome 2, 612921 (3), Autosomal recessive"
PAX3	"Craniofacial-deafness-hand syndrome, 122880 (3), Autosomal dominant; Rhabdomyosarcoma 2, alveolar, 268220 (3), Somatic mutation; Waardenburg syndrome, type 1, 193500 (3), Autosomal dominant; Waardenburg syndrome, type 3, 148820 (3), Autosomal recessive, Autosomal dominant"
FARSB	"Rajab interstitial lung disease with brain calcifications, 613658 (3), Autosomal recessive"
AP1S3	"{Psoriasis 15, pustular, susceptibility to}, 616106 (3), Autosomal dominant"
MRPL44	"?Combined oxidative phosphorylation deficiency 16, 615395 (3), Autosomal recessive"
CUL3	"Pseudohypoaldosteronism, type IIE, 614496 (3), Autosomal dominant"
IRS1	"{Coronary artery disease, susceptibility to} (3); {Diabetes mellitus, noninsulin-dependent}, 125853 (3), Autosomal dominant"
COL4A4	"Alport syndrome 2, autosomal recessive, 203780 (3), Autosomal recessive; Hematuria, familial benign, 141200 (3), Autosomal dominant"
COL4A3	"Alport syndrome 2, autosomal recessive, 203780 (3), Autosomal recessive; Alport syndrome 3, autosomal dominant, 104200 (3), Autosomal dominant; Hematuria, benign familial, 141200 (3), Autosomal dominant"
MFF	"Encephalopathy due to defective mitochondrial and peroxisomal fission 2, 617086 (3), Autosomal recessive"
TM4SF20	"{Specific language impairment 5}, 615432 (3), Autosomal dominant"
SLC19A3	"Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2), 607483 (3), Autosomal recessive"
TRIP12	"Mental retardation, autosomal dominant 49, 617752 (3), Autosomal dominant"
SP110	"{Mycobacterium tuberculosis, susceptibility to}, 607948 (3); Hepatic venoocclusive disease with immunodeficiency, 235550 (3), Autosomal recessive"
ARMC9	"Joubert syndrome 30, 617622 (3), Autosomal recessive"
PDE6D	"?Joubert syndrome 22, 615665 (3), Autosomal recessive"
DIS3L2	"Perlman syndrome, 267000 (3), Autosomal recessive"
ECEL1	"Arthrogryposis, distal, type 5D, 615065 (3), Autosomal recessive"
